,vaga,empresa,localizacao,salario,dataPostagem,dataRaspagem,requisitos,job_url
10,Coordenador de Projetos de Telecomunicações,Ufinet Brasil S.A.,"Home office in Barueri, SP",,EmployerAtiva 7 dias atrás,2022-05-01,"*Caso tenha interesse em se postular para esta vaga, favor clicar no link abaixo: * https://ufinet.bamboohr.com/jobs/view.php?id=404&source=aWQ9Mg%3D%3D …",https://www.br.indeed.com/company/Ufinet-Brasil/jobs/Coordenador-Projetos-Telecomunica%C3%A7%C3%B5es-741293c2f1df6b1f?fccid=e0ad9dc4a7c7fb1a&vjs=3
11,Desenvolvedor Júnior,Semexe ‍ ️ A plataforma dos apaixonados por...,"Hybrid remote in São Paulo, SP",,Postedhá 18 dias,2022-05-01,"Birthday Off isso mesmo, no mês do seu aniversário você tem 1 dia de folga para curtir como quiser.No Dress Code queremos que você se vista da forma como se…",https://www.br.indeed.com/rc/clk?jk=0b8ae5661dfc5ac1&fccid=dd616958bd9ddc12&vjs=3
12,Pessoa Desenvolvedora Back-end PHP,Webjump,"Home office in São Paulo, SP",,Postedhá 3 dias,2022-05-01,Disposição para ensinar o que sabe e aprender coisas novas;,https://www.br.indeed.com/rc/clk?jk=6f51a7424744349d&fccid=55e0ac93fb8b211b&vjs=3
13,Desenvolvedor PHP Pleno/Sênior,Innolevels,"São Paulo, SP",R$ 6.500 - R$ 8.000 por mês,Postedhá 1 dia,2022-05-01,"Candidate-se a nossa vaga que teremos o grande prazer de dividir essa experiência com você.""Grandes coisas em termos de negócios nunca são feitas por uma…",https://www.br.indeed.com/company/Innolevels/jobs/Desenvolvedor-PHP-Pleno-S%C3%AAnior-265c3143f2e34cb5?fccid=b98f3184c24b89e7&vjs=3
14,"Developer E-Commerce Prestashop - PHP, CSS, CMS e APIs",CTMD TI SERV ENG COMP E TELECOM,"São Paulo, SP",R$ 2.351 - R$ 8.103 por mês,Postedhá 30+ dias,2022-05-01,"Para Developer/Programador com sólida experiência em E-commerce, com conhecimentos avançados em PrestaShop, programação de APIs, Desenvolvimento e Instalação de…",https://www.br.indeed.com/company/CTMD-TI-SERV-ENG-COMP-E-TELECOM/jobs/Developer-Commerce-Prestashop-2dc3c5e00ed7a125?fccid=1276614c43b2a4af&vjs=3
15,Desenvolvedor Fullstack Jr,Taking,"Home office in São Paulo, SP",,Postedhá 11 dias,2022-05-01,Cod. 1849 - Desenvolvedor Fullstack Jr Requisitos: - Expertise em PHP legado e Moderno; - Experiência com SQL; - Experiência ou interesse em aprender…,https://www.br.indeed.com/rc/clk?jk=7c21e4b453911161&fccid=54d424b6e8c4e1e7&vjs=3
16,Desenvolvedor Web,Evoi Publicidade,"São Paulo, SP",R$ 2.100 por mês,EmployerAtiva 2 dias atrás,2022-05-01,Colaborar com automação de processos em plataformas de marketing.,https://www.br.indeed.com/company/Evoi-Publicidade/jobs/Desenvolvedor-Web-63684da59c48070e?fccid=37fc7b0ef9000391&vjs=3
17,Desenvolvedor (a) PHP,Bravi,"Home office in São Paulo, SP",,Postedhá 18 dias,2022-05-01,"Sempre temos mais o que aprender.Conhecimento e experiência com Arquitetura PHP 5+ / Codeigniter 3+ / Laravel 5+;Conhecimento Mysql, Docker, GIT, Devops, API.",https://www.br.indeed.com/rc/clk?jk=314e492e4ca503c8&fccid=ea733cebd32530ea&vjs=3
18,DESENVOLVEDOR FRONT-END JÚNIOR,Infotera Tecnologia,"São Paulo, SP",R$ 3.000 - R$ 4.000 por mês,EmployerAtiva 5 dias atrás,2022-05-01,"Atuar no desenvolvimento de softwares para o setor de hotelaria e turismo, utilizando: HTML, CSS, PHP, JavaScript/TypeScript, NodeJS, MongoDB, Integração com…",https://www.br.indeed.com/company/Infotera-Tecnologia/jobs/Desenvolvedor-Front-End-J%C3%BAnior-d65b560ea44c7529?fccid=ae8f866c46dd46a9&vjs=3
19,Programador Junior,Ultranet Telecomunicações Ltda,"São Paulo, SP",R$ 2.000 por mês,EmployerAtiva 2 dias atrás,2022-05-01,"Vaga presencial, para o escritório do Cambuci/SP.*.Diariamente executa o desenvolvimento de sistemas informatizados adequando-os às necessidades das áreas e…",https://www.br.indeed.com/company/Ultranet-Telecomunica%C3%A7%C3%B5es-Ltda/jobs/Programador-Junior-aef9dc7e91150e04?fccid=b018e942ea0e768e&vjs=3
20,Desenvolvedor(a) PHP,DOT digital group,"Home office in São Paulo, SP",,Postedhá 24 dias,2022-05-01,Desenvolvimento de sistemas e portais; Desenvolvimento de integração com sistemas já existentes; Criação de micro-serviços; Integração com diferentes bases de…,https://www.br.indeed.com/rc/clk?jk=1573714ed4389f8c&fccid=5bda41898503d8c4&vjs=3
21,Analista de sistemas júnior,Telium,"São Paulo, SP",,Postedhá 27 dias,2022-05-01,Ser o mais completo provedor de soluções de internet do Brasil e reconhecido pela excelência no atendimento aos clientes.,https://www.br.indeed.com/rc/clk?jk=eb590c19cba2fb73&fccid=a2d6be2047060646&vjs=3
22,Desenvolvedor(a) .NET Jr,,"Home office in São Paulo, SP",R$ 4.000 por mês,Postedhá 18 dias,2022-05-01,Contribuir com o desenvolvimento e implantação dos sistemas;Criação de execução de scripts para extração ou inserção de dados em bancos de dados (SQL Server e…,https://www.br.indeed.com/rc/clk?jk=299bf565c0c83a5d&fccid=dd616958bd9ddc12&vjs=3
23,Desenvolvedor(a) Full Stack PHP Laravel,,"São Paulo, SP",R$ 7.000 por mês,Postedhá 22 dias,2022-05-01,"Somos uma empresa especializada em pricing com soluções inteligentes, desenvolvidas para revolucionar a gestão do varejo e indústria e trazer resultados sólidos…",https://www.br.indeed.com/rc/clk?jk=a4798e045a839af8&fccid=dd616958bd9ddc12&vjs=3
24,Estágio Full Stack,2RP Net,"Home office in São Paulo, SP",,Postedhá 30 dias,2022-05-01,"Alguma linguagem de programação (C, Java, C#, PHP, etc);Outras linguagens e tecnologias (PHP, C#, Java, Python, Node.js, Golang, etc);",https://www.br.indeed.com/rc/clk?jk=67ce8b72ac8ce7c7&fccid=7f1b33b834a2ecf0&vjs=3
25,Desenvolvedor Backend PHP PLENO,Konecta Brasil,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Nosso time trabalha com a plataforma do IntergrALL aplicada e customizada ao negócio do cliente (Bancos, Vendas, Revendas, SAC, Transacional, Ouvidoria, etc.).",https://www.br.indeed.com/rc/clk?jk=7a807022f03f8302&fccid=f305b000dac98e79&vjs=3
26,Programador(a) PHP | Javascript,,"São Paulo, SP",R$ 5.000 por mês,Postedhá 2 dias,2022-05-01,"Aqui o dia a dia é bem dinâmico, com muitas emoções e aprendizados.Desenvolvimento Web (HTML, CSS e Javascript).Linguagens backend PHP e/ou Javascript.",https://www.br.indeed.com/rc/clk?jk=17b4dd31f4473fdf&fccid=dd616958bd9ddc12&vjs=3
27,Desenvolvedor Júnior - Trabalho Hibrído,Webfoco,"Hybrid remote in São Caetano do Sul, SP",,Postedhá 30+ dias,2022-05-01,"Somos uma agência de Marketing Digital localizada em São Caetano do Sul.Conhecimento em PHP, HTML, JavaScript, CSS, WordPress e plataformas de e-commerce (Tray…",https://www.br.indeed.com/rc/clk?jk=4ab2503915f1da4e&fccid=7994a1a032e6a2c2&vjs=3
28,Desenvolvedor(a) Full Stack PHP,DATAB,"São Caetano do Sul, SP",,Postedhá 1 dia,2022-05-01,Realizar manutenção em aplicações web.Identificar e implementar tendências tecnológicas no que se refere ao negócio.Buscar excelência em suas atividades.,https://www.br.indeed.com/rc/clk?jk=5bb402f6650cedaf&fccid=9dea647c646e3417&vjs=3
29,Estágio em Desenvolvimento Front-end,Exent | Performance Marketing,"Home office in São Paulo, SP",R$ 1.500 - R$ 2.000 por mês,Postedhá 11 dias,2022-05-01,Estamos procurando um(a) Estagiário(a) para atuar no setor de Desenvolvimento Front-end da empresa.Desejável Noções em JavaScript (JQuery).,https://www.br.indeed.com/rc/clk?jk=0bbcd19de65bd352&fccid=8a48069f7b77fce3&vjs=3
30,Desenvolvedor PHP Pleno,Taking,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Vaga 1771 - Desenvolvedor PHP Pleno Requisitos: Desenvolver e implantar sistemas de tecnologia da informação, dimensionando requisitos e funcionalidades dos…",https://www.br.indeed.com/rc/clk?jk=3ae952c4fe4948e1&fccid=54d424b6e8c4e1e7&vjs=3
