,vaga,empresa,localizacao,salario,dataPostagem,dataRaspagem,requisitos,job_url
57,Vagas de emprego: Zarpo Viagens,Zarpo Viagens,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Tornar o mundo um lugar melhor é nosso desejo.Desenvolver novos recursos e oferecer suporte para diferentes aplicações da Zarpo;,
58,Vagas de emprego: 2Easy,2Easy,"São Paulo, SP",R$ 1.000 - R$ 3.000 por mês,EmployerAtiva 4 dias atrás,2022-05-01,Conhecimentos em ASP Classico; SQL Server; C#; Visual Basic; PHP; jQuery; Javascript; Bootstrap; CSS; HTML.,
59,Vagas de emprego: Cloudbeds,Cloudbeds,"Home office in São Paulo, SP",,Postedhá 1 dia,2022-05-01,Provide flexibility in working hours and locations;Cloudbeds is seeking a Junior WordPress Developer with an eagerness to assist in maintaining and growing the…,
60,Vagas de emprego: 2Easy,2Easy,"São Paulo, SP",R$ 1.000 - R$ 3.000 por mês,EmployerAtiva 4 dias atrás,2022-05-01,Conhecimentos em ASP Classico; SQL Server; C#; Visual Basic; PHP; jQuery; Javascript; Bootstrap; CSS; HTML.,
61,Vagas de emprego: Cloudbeds,Cloudbeds,"Home office in São Paulo, SP",,Postedhá 1 dia,2022-05-01,Provide flexibility in working hours and locations;Cloudbeds is seeking a Junior WordPress Developer with an eagerness to assist in maintaining and growing the…,
62,Vivo Digital,Vivo Digital,"São Paulo, SP",,Postedhá 11 dias,2022-05-01,Criação de de rotinas (scripts) para tratamento massivo de cenários conhecidos;Acompanhamento de indicadores operacionais para validação de nível de serviço;,
63,Vagas de emprego: 2RP Net,2RP Net,"Home office in São Paulo, SP",,Postedhá 23 dias,2022-05-01,"Ü Conhecimento em uma ou mais linguagens (C#, Python, PHP, Java...);Ü Algum conhecimento em frameworks e bibliotecas CSS e JavaScript (Bootstrap, React,…",
64,Vagas de emprego: NPW Digital,NPW Digital,"São Paulo, SP",,Postedhá 4 dias,2022-05-01,"Experiência com Javascript, HTML, CSS, PHP.",
65,Vagas de emprego: Samabiel,Samabiel,"Barueri, SP",R$ 1.001 - R$ 2.000 por mês,Postedhá 30+ dias,2022-05-01,"Atribuições: EXIGE-SE EXPERIENCIA EM: PHP, MVC, ORIENTAÇÃO A OBJETO, JQUERY, AJAX, JS, HTML, CSS, BANCO DE DADOS MYSQL.",
66,Vagas de emprego: Catena IT,Catena IT,"São Paulo, SP",,Postedhá 15 dias,2022-05-01,Requisitos Experiência com PHP Experiência framework Laravel Conhecimentos com NodeJS MySQL Desenvolvimento de serviços e micro serviços / API’s…,
67,Vagas de emprego: Webjump,Webjump,"Home office in São Paulo, SP",,Postedhá 3 dias,2022-05-01,Conhecimento avançado em provedores cloud (AWS);Experiência com Throubleshooting em ambientes prod e non-prod;,
68,,Dmartini Serviços,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"SVN, sexo indiferente, Conhecimento de sistemas operacionais Linux; Linguagem de programação PHP e JavaScript; Banco de dados PostgreSQL.",
69,Vagas de emprego: Kikker,Kikker,"São Paulo, SP",,Postedhá 26 dias,2022-05-01,Requisitos Conhecimento em PHP; Conhecimento em Laravel; Conhecimento em Postgres; Padrão de projeto Solid; Proatividade; Resiliência; Boa comunicação;…,
70,vagas de emprego: São Paulo,,"São Paulo, SP",,Postedhá 26 dias,2022-05-01,Segue nosso site http://www.e4agencia.com/ para conhecer mais sobre nós.Uso da biblioteca de funções WP para criação e desenvolvimento;,
71,Vagas de emprego: Pontal Tech,Pontal Tech,"Home office in São Paulo, SP","R$ 32,57 por dia",Postedhá 30+ dias,2022-05-01,"Trabalhar em time, utilizando metodologias ágeis para resolver problemas;Monitorar e ajustar aplicações pensando na performance;",
72,G&P Projetos e Sistemas,G&P Projetos e Sistemas,"São Paulo, SP",R$ 5.000 - R$ 6.000 por mês,Postedhá 22 dias,2022-05-01,"Atribuições: Codificar em PHP e componentes, utilizando as melhores práticas estabelecidas pela empresa contratante; Realizar a auditoria do código gerado pelos…",
73,Vagas de emprego: W5 Publicidade,W5 Publicidade,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Diagramar os projetos seguindo o layout.Experiência comprovada na área (3 a 6 anos).Experiência comprovadas com JavaScript, Jquery, HTML e CSS.",
74,Vagas de emprego: Duosystem,Duosystem,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Requisitos Indispensáveis Linguagem PHP Banco de Dados: SQL Server, MySQL Padrão MVC Javascript, JQuery, CSS, Bootstrap GIT Trabalho em equipe Desejável…",
75,vagas de emprego: São Paulo,,"Home office in São Paulo, SP",,Postedhá 23 dias,2022-05-01,A Vision (www.agencia.vision) atua há 20 anos com sede em São Paulo (Brooklin) atendendo clientes de diversos segmentos de mercado: Microsoft (cliente há 11…,
76,Qualicorp,Qualicorp,"Home office in São Paulo, SP",,Postedhá 24 dias,2022-05-01,"Alguns Dos Desafios Que Você Vai Encarar.Realização de Manutenção de Aplicação e Scripts em PHP com integração com banco de dados Mysql, com programação WEB …",
77,Vagas de emprego: Team Liquid,Team Liquid,"São Paulo, SP",,Postedhá 16 dias,2022-05-01,"In the PHP Developer role, you will maintain high-quality when solving architectural and developmental challenges to deliver great user experiences while also…",
78,Vagas de emprego: SIS Serviços,SIS Serviços,"Barueri, SP",,Postedhá 30+ dias,2022-05-01,Desenvolvimento PHP (Front-end e Back-end).Efetuar interface com diversas áreas para levantar informações;Experiência em programação orientada a objetos e MVC…,
79,Vagas de emprego: RedBelt,RedBelt,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Seja qual for o seu cargo, aqui você pode causar um impacto mundial e mudar a vida das pessoas.Desenvolver códigos de qualidade e seguro tanto em backend como…",
80,Vagas de emprego: Webedia Brasil,Webedia Brasil,"São Paulo, SP",,Postedhá 12 dias,2022-05-01,Conhecimento/experiência em servidores de anúncio como AdManager;O que pode te diferenciar.Conhecimentos de linguagens de programação como Javascript e PHP;,
81,Manserv,Manserv,"São Caetano do Sul, SP",R$ 8.000 - R$ 11.000 por mês,Postedhá 3 dias,2022-05-01,"Formação em tecnologia, ciências da computação, engenharia da computação, análise de sistemas ou áreas afins.Experiência com HTML CSS JAVASCRIPT, JQUERY (AJAX)…",
82,Page Personnel,Page Personnel,"São Paulo, SP",,Postedhá 24 dias,2022-05-01,"PHP, ScriptCase 9, HTML, Java Script, CSS,.SQLServer, Oracle, SCRUM e Kanban.Nosso cliente é uma empresa líder em segurança eletrônica que está passando por…",
83,Vagas de emprego: Talent Group,Talent Group,"São Paulo, SP",R$ 5.000 - R$ 9.000 por mês,EmployerAtiva 4 dias atrás,2022-05-01,"Ensino superior completo na área de Tecnologia;Desenvolvimento de sistemas internos, externos e APIs em PHP usando framework Laravel;",
84,Vagas de emprego: Octopus Technology,Octopus Technology,"Vila Leopoldina, SP",,Postedhá 30+ dias,2022-05-01,"Espera-se como habilidades técnicas domínio em PHP, Symfony , Codelgeniter ,Laravel ,HTML5 ,Jquery, Angular, PHP, GIT, MYSQL e SQL Server.",
85,Vagas de emprego: Slingshot,Slingshot,"São Bernardo do Campo, SP",,Postedhá 17 dias,2022-05-01,"Requisitos Alta experiência em PHP e frameworks MVC; Banco de dados MySQL; Ferramentas de versionamento de código (GIT, ...).",
86,Vagas de emprego: Iniciativa Assessoria em Recursos Humanos,Iniciativa Assessoria em Recursos Humanos,"São Paulo, SP",R$ 5.000 - R$ 7.000 por mês,Postedhá 9 dias,2022-05-01,"Empresa moderna de Marketing Digital que trabalha com a criação de portais, e-commerce, games, aplicativos mobile, hotsites, branding, além do amplo portfólio…",
87,Vagas de emprego: EVT,EVT,"São Paulo, SP",,Postedhá 3 dias,2022-05-01,"Conhecimentos avançados em Apache, MySQL e PHP.",
88,Somos Educação,Somos Educação,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Realizar desenvolvimentos utilizado a linguagem PHP, MySQL, Javascript, Jquery e CSS.Agregar ao time de desenvolvimento focado no cliente SESI Educação,…",
89,Vagas de emprego: 00K e-bussines tools,00K e-bussines tools,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Conhecimentos em Javascript, PHP ZF2 / Codeigniter (MVC), GIT, Mysql, HTML/CSS, APIs REST.Js, Elasticsearch, avançado em Mysql (Procedures/Triggers), TDD.",
90,"Software Engineer (English, Portuguese)",Google,"Home office in São Paulo, SP",,Postedhá 23 dias,2022-05-01,"Bachelor's degree in Computer Science, similar technical field of study, or equivalent practical experience.3 years of experience in software engineering, and…",https://www.br.indeed.com/rc/clk?jk=59dd1cb302a740e3&fccid=a5b4499d9e91a5c6&vjs=3
91,Analista de Desenvolvimento PHP Pleno,E-KAN,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Desenvolvimento Web, PHP, HTML, MySQL/MariaDB, CSS, JavaScript, jQuery;Apps Mobiles Híbridos e Nativos e sistemas Desktop;",https://www.br.indeed.com/rc/clk?jk=b42ea8e7a6aace80&fccid=dd616958bd9ddc12&vjs=3
92,Analista de Sistema Junior/Pleno - Desenvolvedor/Programador,Pró-Saúde Assoc. Beneficente de Assist. Social e...,"São Paulo, SP",R$ 5.000 - R$ 5.200 por mês,EmployerAtiva 3 dias atrás,2022-05-01,Estamos contratando profissionais com deficiência em todas as unidades Pró-Saúde.Será responsável por desenvolver melhorias nos sistemas/aplicações da…,https://www.br.indeed.com/company/Pr%C3%B3--Sa%C3%BAde-Assoc.-Beneficente-de-Assist.-Social-e-Hospitalar/jobs/Analista-Sistema-Junior-Pleno-5560a0703b1f0250?fccid=92c00061c1c9cfe5&vjs=3
93,Gerente de TI,Mercado Bitcoin,"Home office in São Paulo, SP",,Postedhá 11 dias,2022-05-01,"Liderar o desenho, arquitetura, engenharia e suporte de Soluções Digitais (BI, CRM, CMS, Web Sites e Portais) numa variedade de projetos estruturantes que tocam…",https://www.br.indeed.com/rc/clk?jk=2d1cfe6c704d04c0&fccid=9283371e84986535&vjs=3
94,Estágio em Desenvolvimento de Web no Magroove,Magroove Serviços Digitais,"Home office in São Paulo, SP",R$ 999 - R$ 1.000 por mês,Contratações frequentes,2022-05-01,Nosso objetivo é ajudar artistas independentes a monetizar seu trabalho com uma plataforma web que concentra diversas ferramentas que eles vão precisar no…,https://www.br.indeed.com/company/Magroove/jobs/Est%C3%A1gio-Desenvolvimento-Web-Magroove-0402c882877fb8dd?fccid=abcb13b1c06f352b&vjs=3
95,Analista Desenvolvedor(a) PHP,Visionnaire Tecnologia S/A,"Hybrid remote in São Paulo, SP",R$ 9.000 por mês,Postedhá 30+ dias,2022-05-01,Buscamos profissional com experiência em desenvolvimento PHP orientado à objetos.Experiência com desenvolvimento em PHP 7.4+;,https://www.br.indeed.com/rc/clk?jk=fd09441cbb5318bc&fccid=dd616958bd9ddc12&vjs=3
96,Tech Lead,Telium,"São Paulo, SP",,Postedhá 17 dias,2022-05-01,Ser o mais completo provedor de soluções de internet do Brasil e reconhecido pela excelência no atendimento aos clientes.,https://www.br.indeed.com/rc/clk?jk=c361427b95c124a0&fccid=a2d6be2047060646&vjs=3
97,Desenvolvedor(a) Full Stack,Rino Box,"Home office in São Paulo, SP",,Postedhá 18 dias,2022-05-01,"Conhecimento em banco de dados NoSQL e SQL.Conhecimento básico em Python, Flutter, Node.Conhecimento em arquitetura Serverless e microsserviços;",https://www.br.indeed.com/rc/clk?jk=efc33b4a351f38e0&fccid=605bf1816b4f7066&vjs=3
98,Desenvolvedor(a) Full-stack PHP,GeekHunter,"Home office in São Paulo, SP",R$ 9.000 - R$ 13.000 por mês,Postedhá 24 dias,2022-05-01,"Provide strong technical leadership and hands-on involvement with PHP (5 and above), wordpress, MySQL, JQuery, CSS3 e HTML5;",https://www.br.indeed.com/rc/clk?jk=be2d1994d544c6a6&fccid=9ba8dec3013c0c90&vjs=3
99,Desenvolvedor de Sistemas III - Berrini SP,Atento Brasil,"São Paulo, SP",R$ 6.500 por mês,Postedhá 1 dia,2022-05-01,"Atuar junto com a equipe desenvolvendo em nossos sistemas na linguagem SQL Server, Python, PHP.Implementar interfaces garantindo a utilização de boas práticas…",https://www.br.indeed.com/rc/clk?jk=e6dae7db035be529&fccid=28ba5f1b6307faa6&vjs=3
100,Analista Desenvolvedor PHP//LARAVEL/ JAVA SCRIPT SÊNIOR,IVO TECH,"São Paulo, SP",R$ 10.000 - R$ 15.000 por mês,EmployerAtiva 6 dias atrás,2022-05-01,Tipo de contratação: PJ ou CLT Horário: Horário de 2ª a 6ª - home 2 vezes por semana; Equipamento: Fornecido pela empresa; Projetos: educacionais para web e…,https://www.br.indeed.com/company/SUPER-EMPREGOS/jobs/Analista-Desenvolvedor-PHP-Laravel-7d5b6829a292dbad?fccid=01003848ae633a3d&vjs=3
101,Estágio em Análise de Sistemas Web,Holos Media,"Pinheiros, SP",,Postedhá 30+ dias,2022-05-01,"Agência Especializada em Campanhas de Mídia Digitial, incluindo Planejamento Estratégico de Campanhas, Gestão de Links Patrocinados, SEO, Web Analytics e…",https://www.br.indeed.com/rc/clk?jk=6e59fb2efffc4dd7&fccid=e7aeb3604c170db0&vjs=3
102,Analista de suporte técnico,Porta 80 Web Hosting,"Home office in Osasco, SP",,Postedhá 1 dia,2022-05-01,"Gerenciamento, instalação, configuração e suporte para redes Windows Server (IIS, DNS Server, Windows Backup, powershell) e Linux (shell, crontab).",https://www.br.indeed.com/rc/clk?jk=10ea0ba4019f4793&fccid=dd0e45d95789caa2&vjs=3
103,Banco de Talentos para Projetos de Desenvolvimento C#,Ploomes,"São Paulo, SP",,Postedhá 18 dias,2022-05-01,"Foco tanto na qualidade da entrega quanto nos prazos.Escritório bem localizado, a 10 minutos do metrô Pinheiros.",https://www.br.indeed.com/rc/clk?jk=dbd596588a1429a3&fccid=6e4a2bd1a9a6f623&vjs=3
104,Desenvolvedor de Sharepoint Pleno,Igreja Universal do Reino de Deus,"São Paulo, SP",R$ 8.842 por mês,Postedhá 30+ dias,2022-05-01,Manter usuário informado sobre o progresso do incidente ou requisição;Certificação Microsoft PL-100 Power Platform App Maker Associate.,https://www.br.indeed.com/rc/clk?jk=6adf17a636fe8f13&fccid=d95dda1197cb5468&vjs=3
105,PESSOA DESENVOLVEDORA FRONT-END PLENO,ClickBus,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Somos a maior plataforma de transações para o transporte rodoviário de ônibus no Brasil e por aqui, nossos clientes podem garantir passagens para mais de 4.6…",https://www.br.indeed.com/rc/clk?jk=b132e28f0fe6afa5&fccid=67bec0a4ab484390&vjs=3
106,Desenvolvedor(a) Full Stack/ReactJS,DOC SYNC,"Home office in São Paulo, SP",R$ 4.000 - R$ 5.000 por mês,Postedhá 4 dias,2022-05-01,"Desenvolvedor(a) FullStack/ReactJS, Strapi, Java Script.Quer entrar para o time da mais nova startup acelerada pelo Cubo do Itaú?",https://www.br.indeed.com/rc/clk?jk=f569ab53f7e508ac&fccid=02670d816f547229&vjs=3
107,TechLead_CTO,Injoy Travel,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"QUEM É VOCÊ/O QUE BUSCAMOS E SEUS DESAFIOS.Estamos num processo de crescimento forte e sólido, buscando uma pessoa que consiga aliar capacidade técnica mas que…",https://www.br.indeed.com/rc/clk?jk=30d850ee19378d9d&fccid=70339520f7412499&vjs=3
108,Technical Trainer,Relation1,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Train new hired employees on specific technologies used in the company.Conduct periodical evaluations on trainees’ activity and make recommendations.,https://www.br.indeed.com/rc/clk?jk=c413d7681ddbe703&fccid=054e3fcaf610a48c&vjs=3
109,Head de Tecnologia Web,Red Pill RH,"São Paulo, SP",,Postedhá 25 dias,2022-05-01,Gestão do time de tecnologia junto ao CTO;Desenvolvimento e manutenção do backend e frontend;Trabalhar em estreita colaboração com o Design e o Produto para…,https://www.br.indeed.com/rc/clk?jk=c21f55265ab1606a&fccid=3c89af9be02f6666&vjs=3
110,Analista de Produção de TI Senior,Vivo Digital,"São Paulo, SP",,Postedhá 12 dias,2022-05-01,Vice-Presidência Chief Information Officer.Área: Suporte a Sistemas Corporativos.Local: São Paulo - SP | Chucri Zaidan.Então esta oportunidade é para você.,https://www.br.indeed.com/rc/clk?jk=28ebf36e10f1f2f8&fccid=af82f506ed7ea7e1&vjs=3
111,Desenvolvedor(a) PHP/Full Stack,TradeUp,"Barueri, SP",R$ 2.500 - R$ 7.000 por mês,Postedhá 24 dias,2022-05-01,"Nós da TradeUp Group, procuramos pessoas que tenham habilidades de multiplicar seus conhecimentos com outras pessoas.Outras Informações CLT; De seg. a sexta.",https://www.br.indeed.com/rc/clk?jk=52a6ba0a50a4608a&fccid=fb8f407d12129b6c&vjs=3
112,Analista de Engenharia de Dados I,Experian,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,A Serasa Experian é formada por pessoas apaixonadas pelo mundo de dados & tecnologia e movidas a criar um futuro melhor.O que te oferecemos como diferencial!,https://www.br.indeed.com/rc/clk?jk=b8166b09496f3278&fccid=75a3a5a15b202084&vjs=3
113,Analista de SEO - ON Page,Agência Linka,"São Paulo, SP",,Postedhá 4 dias,2022-05-01,Buscamos um profissional que seja capaz de se colocar no lugar do cliente para compreender como realiza suas buscas.,https://www.br.indeed.com/rc/clk?jk=5432790b114edf40&fccid=15f7e945d041252f&vjs=3
114,Desenvolvedor PHP Pleno,Habittus,"Home office in São Paulo, SP",R$ 7.500 por mês,Postedhá 30+ dias,2022-05-01,"Desempenhando funções de desenvolvimento de programas,.Levantamento de necessidades junto aos usuários,.Especificação funcional, técnica e desenvolvimento de.",https://www.br.indeed.com/rc/clk?jk=b8b911b81fed9bda&fccid=377aa15524bf77d1&vjs=3
115,Desenvolvedor(a) PHP Back-end,GeekHunter,"São Paulo, SP",R$ 9.000 - R$ 11.000 por mês,Postedhá 30+ dias,2022-05-01,O que você irá fazer?Construir e dar manutenção em API's.Construir e dar manutenção nos produtos existentes.Ser uma das lideranças técnicas da equipe.,https://www.br.indeed.com/rc/clk?jk=b7d1908671d9aad2&fccid=9ba8dec3013c0c90&vjs=3
116,Desenvolvedor(a) Full-stack pleno PHP,GeekHunter,"Home office in São Paulo, SP",R$ 12.500 - R$ 14.500 por ano,Postedhá 30+ dias,2022-05-01,"O que você irá fazer?Se você gosta desses assuntos, gosta muito de programação, gosta de aprender e está disposto a transformar o ecossistema das empresas no…",https://www.br.indeed.com/rc/clk?jk=70697ec71433b032&fccid=9ba8dec3013c0c90&vjs=3
117,Dev Full Stack,Metanoia Sistemas,"São Paulo, SP",R$ 1.000 - R$ 3.000 por mês,Postedhá 18 dias,2022-05-01,"Somos uma empresa voltada para prestação de serviços e atendimento a agências.Temos uma equipe jovem, muito engajada e com sede de aprendizado.",https://www.br.indeed.com/rc/clk?jk=c253a93996e799a8&fccid=7f85a0e50dac3a78&vjs=3
118,Web designer pleno,Porta 80 Web Hosting,"São Paulo, SP",,Postedhá 1 dia,2022-05-01,"A Porta 80 Web Hosting procura um web designer com experiência comprovada, para atuação no desenvolvimento de novos sites, sistemas web e projetos digitais da…",https://www.br.indeed.com/rc/clk?jk=8cb1e973e9e351df&fccid=dd0e45d95789caa2&vjs=3
119,Analista DevOps pleno (remoto),Lean Saúde,"Home office in Vila Mariana, SP",,Postedhá 11 dias,2022-05-01,Trabalhamos para promover saúde integral.Somos Lean Saúde — aliamos Inteligência de Dados a mais de 20 anos de experiência em Gestão de Saúde populacional e…,https://www.br.indeed.com/rc/clk?jk=fbf269671aa1a70d&fccid=49ade77fc07f3024&vjs=3
120,Vagas de emprego: Metanoia Sistemas,Metanoia Sistemas,"São Paulo, SP",R$ 1.000 - R$ 3.000 por mês,Postedhá 18 dias,2022-05-01,Procuramos um(a) Desenvolvedor(a) PHP com experiência em wordpress e frameworks javascript como React e ViewJS.,
121,Vagas de emprego: Porta 80 Web Hosting,Porta 80 Web Hosting,"São Paulo, SP",,Postedhá 1 dia,2022-05-01,"Desenvolvimento de novo website para a empresa.Experiência mínima de 5 anos na área.Profissional formado ou último ano de graduação, em Ciência da Computação…",
122,Vagas de emprego: Lean Saúde,Lean Saúde,"Home office in Vila Mariana, SP",,Postedhá 11 dias,2022-05-01,Garantir as melhores práticas nas implantações e tarefas executadas.Desenvolver e implantar DRP - Disaster Recovery Plan.Trabalho remoto em home office.,
123,Vagas de emprego: Página de carreiras,Página de carreiras,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Trabalhar em times multidisciplinares (Product Owner, UX, Marketing e SysAdmin) com mindset ágil, desenvolvendo soluções que encantem nossos clientes;",
124,Vagas de emprego: Norte Marketing Esportivo,Norte Marketing Esportivo,"São Paulo, SP",,Postedhá 25 dias,2022-05-01,"Conhecimentos em bancos de dados; Conhecimento avançado em Programação back-end (PHP/WordPress - API Rest); HTML5, Scss, JavaScript Conhecimento em Next.",
125,IBM,IBM,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Our Infrastructure Specialists are responsible for keeping up with these latest and greatest of these changes and using their expertise to deliver solutions…,
126,Vagas de emprego: Secureway,Secureway,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Acompanhar a dinâmica do escritório do cliente, atualmente 2 visitas/semana, havendo até a possibilidade de trabalho local/diário.",
127,Vagas de emprego: inPeople,inPeople,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Estamos em busca de um(a) Programador(a) Vue.js para fazer parte do nosso time! Benefícios: Férias, Subsídio de férias, Trabalho remoto / Home office,…",
128,Hypera Pharma,Hypera Pharma,"São Paulo, SP",,Postedhá 5 dias,2022-05-01,Você ainda pode fazer parte do nosso time!Conhecimento geral nos domínios de atuação (projetos de sistemas SAP e multiplataformas como .,
129,Vagas de emprego: Grupo EasyTech,Grupo EasyTech,"São Paulo, SP",,Postedhá 1 dia,2022-05-01,Formação em áreas de Tecnologia da Informação;Interoperabilidade e utilização de sistemas operacionais Windows e Linux (incluindo linhas de comando);,
130,Vagas de emprego: Search Recursos Humanos,Search Recursos Humanos,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Atuar com desenvolvimento em PHP Full Stack, orientado a objetos e padrões de projetos.Experiência em algum Framework PHP: Laravel, Cakephp, Lumen e etc;",
131,EY,EY,"São Paulo, SP",,Postedhá 4 dias,2022-05-01,"Conhecimento de programação (JAVA, C#, VBA, php ou outros);Auxiliar a desenhar a estratégia de transformação digital na região;",
132,Vagas de emprego: GeekHunter,GeekHunter,"Home office in São Paulo, SP",,Postedhá 1 dia,2022-05-01,"Develop high-quality software design and architecture.Identify, prioritize and execute tasks in the software development life cycle.",
133,Accenture,Accenture,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Graduação completa em Ciência da Computação e/ou Área Técnica relacionada .Programação JavaScript ou liguagem Web relacionada (PHP, Java).",
134,Vagas de emprego: R&SSOUZA,R&SSOUZA,"Home office in São Paulo, SP",R$ 7.000 - R$ 10.000 por mês,EmployerAtiva 3 dias atrás,2022-05-01,"Experiência de 05 anos na ou mais.Experiências em Python e seus frameworks como Django, Flask, FastAPI e afins / Bancos de dados relacionais como Postgres,…",
135,Vagas de emprego: Hosanna Tecnologia,Hosanna Tecnologia,"Barueri, SP",,Postedhá 30+ dias,2022-05-01,"Experiência em Linguagem PHP + HTML5 + WebSocket.Experiência em Linguagem JavaScript (NodeJS, JQuery, React e Vue).",
136,Labi Exames,Labi Exames,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Desenvolvimento com PHP ou Python;,
137,Vagas de emprego: Acordo Online,Acordo Online,"Home office in São Paulo, SP",,Postedhá 11 dias,2022-05-01,Estamos à procura de uma pessoa fera em integrações de sistemas e desenvolvimento back-end (MVC Laravel).,
138,Curriculum.com.br,Curriculum.com.br,"São Paulo, SP",,Postedhá 5 dias,2022-05-01,Elaborar scripts de automatização de processos; Ser responsável por elaborar POC´s de novas tecnologias; Conteinerização de Aplicações (Docker); Provisionamento…,
139,Vagas de emprego: Taking,Taking,"Home office in Osasco, SP",,Postedhá 17 dias,2022-05-01,"Conhecimentos em PHP, CSS#, HTML5, SEO e UX (não obrigatório).",
140,Vagas de emprego: W5 Publicidade,W5 Publicidade,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Experiência comprovada na área (4 anos em diante).Conhecimento de frameworks web PHP, Laravel e CodeIgniter.",
141,vagas de emprego: São Paulo,,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Atuará na solução de problemas de diferentes naturezas através de programação.Será considerado diferencial: Conhecimentos prévios em programação (Python, PHP,…",
142,Vagas de emprego: Porta 80 Web Hosting,Porta 80 Web Hosting,"Home office in Osasco, SP",,Postedhá 1 dia,2022-05-01,"Gerenciamento, instalação, configuração e suporte para redes Windows Server e Linux.Protocolos de internet, incluindo TCP/IP, FTP, HTTP, HTTPS, POP, SMTP, SNMP…",
143,Vagas de emprego: SEO Marketing,SEO Marketing,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Domínio em HTML e CSS;O cargo exige conhecimento avançado e atualizado nas principais técnicas de SEO, principalmente aquelas relacionadas ao SEO Estratégico.",
144,EY,EY,"São Paulo, SP",,Postedhá 4 dias,2022-05-01,"Conhecimento de programação (JAVA, C#, VBA, php ou outros);Manter-se informado sobre os desenvolvimentos econômicos/corporativos gerais e seu impacto, para…",
145,Vagas de emprego: Secureway Tecnologia,Secureway Tecnologia,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Experiência em SIEM para análise de incidentes ( Splunk, QRadar, Logrhytm, Fortsiem, etc.).Experiência em ferramentas como Burp ou similar.",
146,Vagas de emprego: Metal Toad,Metal Toad,"São Paulo, SP",,Postedhá 16 dias,2022-05-01,"The Software Engineer position at Metal Toad requires experience in building high-performing, scalable, enterprise-grade applications.",
147,Vagas de emprego: Martin Luz,Martin Luz,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Estamos em busca de uma pessoa com vasta experiência em Social Media, Growth Marketing e Performance Digital, com capacidade para liderar times e grandes…",
148,G&P Projetos e Sistemas,G&P Projetos e Sistemas,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Integração com API’s Rest;No campo assunto, coloque Desenvolvedor React PL .",
149,Synoro Negócios Inovadores,Synoro Negócios Inovadores,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Sobre a empresa: A Triibo é uma Startup de tecnologia. Estamos aprimorando nossa plataforma de engajamento que é baseada no conceito de comunidade digital.…,
