,vaga,empresa,localizacao,salario,dataPostagem,dataRaspagem,requisitos,job_url
0,Estagiário Precificação e Índices,Anbima,"São Paulo, SP",,Postedhá 4 dias,2022-05-01,"Noções de programação (VBA, Python, SQL, Matlab).Bolsa estágio compatível com o mercado.",https://www.br.indeed.com/rc/clk?jk=80659bdb440d754b&fccid=6163bbc655d3edf5&vjs=3
1,5915 - Cientista de Dados,GLOBAL HITSS,"São Paulo, SP",,Postedhá 2 dias,2022-05-01,"Somos uma empresa do grupo América Móvil, com mais de 30 anos de experiência no mercado de soluções digitais e serviços de TI na América Latina e Estados…",https://www.br.indeed.com/rc/clk?jk=fcd6a28daca320e8&fccid=c24117b06f969a80&vjs=3
2,Desenvolvedor Python Sênior,Innolevels,"São Paulo, SP",R$ 6.500 - R$ 10.000 por mês,Postedhá 2 dias,2022-05-01,Automação de rotinas a frameworks completos de desenvolvimento web.,https://www.br.indeed.com/company/Innolevels/jobs/Desenvolvedor-Python-S%C3%AAnior-df93c9a008b86590?fccid=b98f3184c24b89e7&vjs=3
3,Analista Desenvolvedor Python,Shopee,"São Paulo, SP",,Postedhá 12 dias,2022-05-01,VBA e JavaScript serão considerados diferenciais.Capacidade de trabalhar em um ambiente multifuncional e colaborativo.,https://www.br.indeed.com/rc/clk?jk=7ac5e47a52506d01&fccid=0b476c4a7add47fe&vjs=3
4,Desenvolvedor PYTHON,LLIEGE,"São Paulo, SP",R$ 6.000 por mês,EmployerAtiva 2 dias atrás,2022-05-01,"Atuar com programação Fullstack, Django, consumo de APIS REST, bancos de dados, JavaScript, jQuery, HTML e CSS.",https://www.br.indeed.com/company/LLIEGE/jobs/Desenvolvedor-Python-7923461b10f29b89?fccid=a6f0938b0c4f96c6&vjs=3
5,ANALISTA DE DADOS JUNIOR,A Gente Faz Terceirização,"São Paulo, SP",R$ 2.000 por mês,EmployerAtiva 2 dias atrás,2022-05-01,"REQUISITOS: HABILIDADE EM DASHBOARD TRATAMENTO DE INFORMAÇÕES CONHECIMENTO EM EXCEL, POWER BI E PYTHON PACOTE OFFICE Atividades desenvolvidas: *…",https://www.br.indeed.com/company/A-Gente-Faz-Terceiriza%C3%A7%C3%A3o/jobs/Analista-Dados-Junior-1b7507e1d5e8fb6c?fccid=4394b644dcb7d462&vjs=3
6,Estágio Full Stack,2RP Net,"Home office in São Paulo, SP",,Postedhá 30 dias,2022-05-01,"Alguma linguagem de programação (C, Java, C#, PHP, etc);Outras linguagens e tecnologias (PHP, C#, Java, Python, Node.js, Golang, etc);",https://www.br.indeed.com/rc/clk?jk=67ce8b72ac8ce7c7&fccid=7f1b33b834a2ecf0&vjs=3
7,Data Analyst,Capim,"Home office in São Paulo, SP",R$ 5.000 - R$ 10.000 por mês,EmployerAtiva 8 dias atrás,2022-05-01,Somos uma fintech que está transformando os serviços financeiros no setor de saúde no Brasil.Identificar desafios e oportunidades de negócio e usar ferramentas…,https://www.br.indeed.com/company/Capim/jobs/Data-Analyst-e9c181c88981a701?fccid=0a5d7b98d581e8cb&vjs=3
8,Desenvolvedor Python,Iterative,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Conhecimento técnico avançado em desenvolvimento (Python);,https://www.br.indeed.com/rc/clk?jk=dd59434536480aa1&fccid=c795cb63f9115981&vjs=3
9,Cientista de Dados,Liv Up,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Utilizando nossa plataforma de dados, nosso time constrói produtos que utilizam algoritmos de Machine Learning e otimização de restrições para encantar nossos…",https://www.br.indeed.com/rc/clk?jk=2e70fddddf9a381a&fccid=c529404c44cdcef1&vjs=3
10,Analista de Dados Pleno - Home Office,RUFINO HR CONSULTING,"Home office in São Paulo, SP",R$ 3.500 por mês,Postedhá 3 dias,2022-05-01,"Pacote office avançado, BI intermediário, SAS básico, Python intermediário e banco de dados intermediário.Local: * Home Office, com disponibilidade de ir até a…",https://www.br.indeed.com/company/RUFINO-HR-CONSULTING/jobs/Analista-Dados-Pleno-da11ed17cdd66f6d?fccid=f1f1265387da1923&vjs=3
